error_bound,log10_e,psnr_measured,psnr_hat,psnr_residual,ssim_measured,ssim_hat,ssim_residual,cr_measured,cr_hat,cr_residual
1e-06,-6.0,130.28,130.52247699854138,-0.2424769985413775,0.999109,0.9991440292014713,-3.502920147124833e-05,14.3053,15.355140799685055,-1.0498407996850538
1.8329807108324373e-06,-5.7368421052631575,125.071,125.10247521216796,-0.031475212167961786,0.998659,0.99874554425625,-8.65442562499874e-05,16.3307,16.87886857506252,-0.5481685750625189
3.359818286283781e-06,-5.473684210526316,119.837,119.74565281126834,0.09134718873166037,0.998183,0.9981703933404565,1.2606659543501486e-05,19.0353,19.009215270425365,0.02608472957463448
6.158482110660267e-06,-5.2105263157894735,114.663,114.45200979584251,0.2109902041574827,0.997382,0.9973461515405765,3.584845942350423e-05,22.7043,21.92939909977784,0.7749009002221605
1.1288378916846883e-05,-4.947368421052632,109.489,109.22154616589047,0.2674538341095314,0.996288,0.9961742106405432,0.00011378935945671742,27.3231,25.90844310039179,1.414656899608211
2.06913808111479e-05,-4.684210526315789,104.429,104.0542619214122,0.3747380785877965,0.994922,0.9945222757561135,0.0003997242438864568,33.5852,31.341393272144778,2.2438067278552225
3.792690190732254e-05,-4.421052631578947,99.3074,98.95015706240773,0.3572429375922752,0.992738,0.9922157984727782,0.0005222015272218217,41.2429,38.81218002117638,2.4307199788236176
6.951927961775606e-05,-4.157894736842105,94.2939,93.90923158887705,0.38466841112294503,0.989832,0.9890288598931265,0.0008031401068735455,51.9302,49.19272569860599,2.737474301394009
0.0001274274985703,-3.8947368421053086,89.2008,88.93148550082101,0.2693144991789893,0.985596,0.9846755217008196,0.000920478299180405,66.4355,63.80095873650174,2.6345412634982637
0.000233572146909,-3.631578947368444,84.0682,84.01691879823747,0.051281201762535034,0.978844,0.978803355982028,4.0644017972102375e-05,86.0171,84.6559227367712,1.3611772632287966
0.0004281332398719,-3.3684210526316187,79.1178,79.16553148112844,-0.04773148112843728,0.969357,0.9709917060318672,-0.0016347060318672169,113.02,114.89514357575491,-1.8751435757549189
0.0007847599703514,-3.105263157894771,73.7957,74.37732354949279,-0.5816235494927895,0.955915,0.9607580724683702,-0.004843072468370235,165.887,159.46689370563044,6.42010629436956
0.0014384498882876,-2.842105263157914,68.7935,69.65229500333075,-0.858795003330755,0.940325,0.9475765437593633,-0.007251543759363321,201.767,226.29465261544235,-24.52765261544235
0.0026366508987303,-2.578947368421062,66.4046,64.99044584264261,1.4141541573573875,0.937745,0.9309118802517375,0.006833119748262506,284.928,328.2640322489383,-43.336032248938295
0.0048329302385717,-2.3157894736842155,58.7902,60.39177606742835,-1.6015760674283541,0.898737,0.910271073827703,-0.011534073827702995,421.966,486.66253716772536,-64.69653716772535
0.0088586679041008,-2.05263157894737,55.7562,55.85628567768789,-0.10008567768789334,0.888964,0.8852704453452005,0.00369355465479948,624.372,737.2223557362161,-112.8503557362161
0.0162377673918872,-1.7894736842105268,51.6874,51.383974673421264,0.3034253265787328,0.863047,0.8557107519729242,0.007336248027075776,1224.1,1140.894267191317,83.2057328086828
0.0297635144163131,-1.5263157894736854,46.756,46.97484305462845,-0.21884305462845077,0.814296,0.8216466738203133,-0.0073506738203132915,1607.95,1803.3456514107727,-195.39565141077264
0.0545559478116852,-1.263157894736842,41.1436,42.6288908213094,-1.4852908213093983,0.779854,0.7834330357467609,-0.0035790357467608835,3601.01,2910.7813935813197,690.2286064186806
0.1,-1.0,39.7894,38.346117973464146,1.4432820265358544,0.756462,0.7417312197723457,0.014730780227654283,5560.19,4796.755631801806,763.4343681981936
